"שם האירוע","מועד האירוע","מיקום האירוע","כמות כרטיסים שהוקצו","כמות כרטיסים שנמכרו","סה""כ מכירות בש""ח","סה""כ החזרים בש""ח","סה""כ עמלות בש""ח","סה""כ למוכר בש""ח","סה""כ מזומן"
"קולנוע נגטיב - מכירת מנויים תשע""ט ","11.10.2018 20:00","קולנוע נגטיב",5000,30,3352,0,122.6,2329.4,900
"פדינגטון 2","04.11.2018 20:00","אולם 6",250,0,0,0,0,0,0
חיפוש,"04.11.2018 21:00","אולם 5",250,22,172,37.8,5.45,65.75,63
"ונום 11/11","04.11.2018 21:00","אולם 5",250,0,0,0,0,0,0
"פדינגטון 2","04.11.2018 21:30","אולם 6",250,5,46,0,0,0,46
"שחקן מספר 1","05.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"שחקן מספר 1 5.11","05.11.2018 21:00","אולם 6",250,11,63,0,2.1,39.9,21
"ונום 11/11","05.11.2018 21:00","אולם 6",250,0,0,0,0,0,0
"הג'נטלמן והאקדח 5.11","05.11.2018 21:30","אולם 5",250,8,0,0,0,0,0
"הג'נטלמן והאקדח - הקרנה אחרונה!","05.11.2018 21:30","אולם 5",250,0,0,0,0,0,0
"פדינגטון 6.11","06.11.2018 21:00","אולם 6",250,8,0,0,0,0,0
"חיפוש 6.11","06.11.2018 21:30","אולם 5",250,27,127,0,4.25,80.75,42
"פדינגטון 2 6/11","06.11.2018 21:30","אולם 6",250,0,0,0,0,0,0
"חלום ירושלים","07.11.2018 20:30","אולם 5",250,17,120,18,4.5,67.5,30
"שחקן מספר 1","07.11.2018 21:00","אולם 6",250,8,63,0,3.15,59.85,0
"טרנזיט 7/1","07.11.2018 21:30","אולם 6",250,0,0,0,0,0,0
"שחקן מספר 1 הקרנה אחרונה!","08.11.2018 21:00","אולם 6",250,3,0,0,0,0,0
"הג'נטלמן והאקדח הקרנה אחרונה 8/11","08.11.2018 21:30","אולם 5",250,7,63,0,3.15,59.85,0
"טרנזיט 9/1","09.11.2018 21:30","אולם 6",250,0,0,0,0,0,0
"חיפוש הקרנה אחרונה!","10.11.2018 21:30","אולם 5",250,3,0,0,0,0,0
"פדינגטון 2- הקרנה אחרונה","10.11.2018 22:00","אולם 6",250,0,0,0,0,0,0
"ונום 11/11","11.11.2018 21:00","אולם 5",250,39,507,0,12.85,244.15,250
